model,surrogate,fidelity_overall,fidelity_not_readmitted,fidelity_readmitted,coverage,n_rules,n_selected_features,fidelity_change_vs_complete
Decision Tree,Complete PSyKE,0.9713326807439518,0.9743799400381575,0.9681217690982195,1.0,12,9,0.0
Decision Tree,Without discharge_disposition_id_1,0.8856104041392813,0.9750613246116108,0.7913555427914991,1.0,11,8,-0.08572227660467058
XGBoost,Complete PSyKE,0.9654593763110054,0.9468256926326252,0.9894450663681433,1.0,12,10,0.0
XGBoost,Without discharge_disposition_id_1,0.8886169766466229,0.9767673002857498,0.7751479289940828,1.0,6,5,-0.07684239966438255
MLP,Complete PSyKE,0.946441057194798,0.9465914025184542,0.9421487603305785,1.0,12,8,0.0
MLP,Without discharge_disposition_id_1,0.9615438400223745,0.9652627008250109,0.8553719008264463,1.0,12,8,0.015102782827576489
