model_key,model,threshold,n_features,test_recall,test_precision,test_f2,test_roc_auc,test_average_precision,safety_deceased_rows,safety_passed,symbolic_coverage,symbolic_fidelity_overall,fidelity_not_readmitted,fidelity_readmitted,trivial_fidelity,fidelity_gain_over_trivial,n_rules,tree_depth,n_selected_features
decision_tree,Decision Tree,0.5,148,0.6478537360890302,0.11703044227455485,0.33969656552184063,0.6395399099245358,0.1536145097903007,1084,True,1.0,0.9713326807439518,0.9743799400381575,0.9681217690982195,0.5130750943923926,0.4582575863515592,12,4,9
xgboost,XGBoost,0.5,148,0.6081081081081081,0.12234127618743003,0.3389455028799291,0.6432841772179669,0.16385057028247754,1084,True,1.0,0.9654593763110054,0.9468256926326252,0.9894450663681433,0.5627884211998322,0.40267095511117323,12,4,10
mlp,MLP,0.16838383838383839,148,0.10174880763116058,0.2644628099173554,0.11602610587382162,0.6485152491091665,0.1620637837621394,1084,True,1.0,0.946441057194798,0.9465914025184542,0.9421487603305785,0.9661585792196895,-0.01971752202489152,12,4,8
