model,complete_psyke_fidelity,discharge_disposition_id_1_only_fidelity,fidelity_change,complete_balanced_fidelity,discharge_disposition_id_1_only_balanced_fidelity,balanced_fidelity_change,fidelity_not_readmitted,fidelity_readmitted,coverage,n_rules,psyke_fidelity_to_single_feature_cart
Decision Tree,0.9713326807439518,0.8551251573206544,-0.11620752342329743,0.9712508545681885,0.8521204875786058,-0.11913036698958268,0.9670209866448624,0.7372199885123493,1.0,2,1.0
XGBoost,0.9654593763110054,0.9056775276185149,-0.05978184869249048,0.9681353795003842,0.8963425124582268,-0.07179286704215737,0.9706795875264008,0.8220054373900528,1.0,2,1.0
